MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
353327000,2025-09-05T15:39:20,18.25816673878676,-64.97741088532035,0,0,-1.7697142442622291,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:21,18.254512867112663,-64.97612893830086,0,0,0.052464901998471536,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:21,18.232787056888615,-64.98221236107851,0,0,2.097398698408719,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:21,18.258154705774015,-64.9774143193291,0,0,-1.770238456245852,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:22,18.25451301176672,-64.97612020689743,0,0,0.04600479149266105,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:22,18.23279428537447,-64.98221661391831,0,0,2.0956357999967303,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:22,18.258146677337322,-64.97741634199835,0,0,-1.7802164426042928,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:23,18.254513308963,-64.97610713195171,0,0,0.040594109471573867,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:23,18.232805042430826,-64.9822231617036,0,0,2.094498954002433,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:23,18.258134506576738,-64.97741943522426,0,0,-1.7907371692934586,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:24,18.254513531828426,-64.97609844216458,0,0,0.03301642692749095,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:24,18.23281223757417,-64.98222745889287,0,0,2.093086610370326,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:24,18.258126437532706,-64.97742129546876,0,0,-1.807293986159012,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:25,18.254513860884163,-64.97608541727416,0,0,0.029308225550502734,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:25,18.23282309445501,-64.98223375635651,0,0,2.0923125046331097,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:25,18.258114324705797,-64.97742410091703,0,0,-1.8164244687879239,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:26,18.254514061719878,-64.97607673483753,0,0,0.026645499405445746,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:26,18.232830291593245,-64.98223807181779,0,0,2.0914857102370656,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:26,18.25810620054935,-64.97742617174231,0,0,-1.8247767505046066,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:27,18.2545143235393,-64.97606374435912,0,0,0.026810027478656216,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:27,18.232841043087166,-64.98224470749034,0,0,2.0912271025190723,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:27,18.2580941416275,-64.97742916161678,0,0,-1.8259973278724195,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:28,18.25451447307746,-64.97605510593094,0,0,0.02927547037525126,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
